epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,160.175,1.43613,2.49827,1.32377,0.62428,0.46744,0.51963,0.38431,1.15452,1.10129,1.0584,3.47083e-05,3.47083e-05,3.47083e-05
2,277.963,1.39838,2.14993,1.29492,0.72145,0.44105,0.53229,0.39011,1.16643,1.10476,1.06186,6.94663e-05,6.94663e-05,6.94663e-05
3,393.715,1.38239,1.91173,1.28477,0.6433,0.45769,0.5297,0.3836,1.1906,1.16282,1.06685,9.89882e-05,9.89882e-05,9.89882e-05
4,513.283,1.2909,1.79811,1.24306,0.72169,0.41157,0.51702,0.37742,1.21265,1.25921,1.07256,9.5438e-05,9.5438e-05,9.5438e-05
5,571.038,1.39155,1.77918,1.25344,0.72905,0.41605,0.52282,0.38307,1.20937,1.2834,1.07022,8.7584e-05,8.7584e-05,8.7584e-05
6,623.095,1.22685,1.38031,1.12308,0.6379,0.45144,0.53154,0.39209,1.19397,1.29515,1.06301,7.973e-05,7.973e-05,7.973e-05
7,668.089,1.30065,1.41713,1.14856,0.63954,0.47706,0.54395,0.39724,1.17722,1.27381,1.05552,7.1876e-05,7.1876e-05,7.1876e-05
8,710.354,1.27639,1.31642,1.14035,0.63232,0.50887,0.55543,0.40733,1.16805,1.21504,1.05003,6.4022e-05,6.4022e-05,6.4022e-05
9,753.165,1.22725,1.29274,1.13376,0.69276,0.50054,0.56893,0.41617,1.16308,1.1528,1.04587,5.6168e-05,5.6168e-05,5.6168e-05
10,794.156,1.2019,1.20173,1.09947,0.72619,0.4905,0.57787,0.42304,1.15421,1.10277,1.04148,4.8314e-05,4.8314e-05,4.8314e-05
11,829.539,1.18168,1.21133,1.1109,0.76367,0.49189,0.58664,0.43523,1.14796,1.06755,1.03875,4.046e-05,4.046e-05,4.046e-05
12,863.117,1.17528,1.17732,1.11233,0.76695,0.49851,0.60179,0.44974,1.13933,1.03841,1.03555,3.2606e-05,3.2606e-05,3.2606e-05
13,898.444,1.18418,1.18546,1.09487,0.7935,0.48912,0.60688,0.45769,1.13278,1.0156,1.03389,2.4752e-05,2.4752e-05,2.4752e-05
14,938.223,1.15298,1.12352,1.09229,0.81836,0.48134,0.60764,0.45744,1.12636,1.00422,1.03186,1.6898e-05,1.6898e-05,1.6898e-05
15,979.741,1.17311,1.14332,1.0984,0.82318,0.48177,0.60932,0.45652,1.12351,0.99995,1.0317,9.044e-06,9.044e-06,9.044e-06
